CISTABLENAME,CISCOLUMNNAME,CISSERVICE,CSISERVICE,CSISRVELMCLASS,CSISRVELMPROPNAME,CSISRVELMATTRNAME,DESCRIPTION,STATUS
MTN_ACCESS,CSPFaultManagement,FR,FRAME_RELAY_PURPLE,ServiceOptions,,CSP Fault Management,View Request V4,0
MTN_ACCESS,CSPProjectManagement,FR,FRAME_RELAY_PURPLE,ServiceOptions,,CSP Project Management,View Request V4,0
MTN_ACCESS,CSPServiceManagement,FR,FRAME_RELAY_PURPLE,ServiceOptions,,CSP Service Management,View Request V4,0
MTN_ACCESS,CustCode,FR,FRAME_RELAY_PURPLE,VERSION,CustHandle,,View Request V4,0
MTN_ACCESS,CustomerDefinedCode,FR,FRAME_RELAY_PURPLE,AccessConnection,,Local Customer Defined Code,View Request V4,0
MTN_ACCESS,CustomerLastModifDate,FR,FRAME_RELAY_PURPLE,SiteInformation,LastModifDate,,View Request V4,0
MTN_ACCESS,EmailAddress,FR,FRAME_RELAY_PURPLE,SiteContact,EmailAddress,,View Request V4,0
MTN_ACCESS,FaxNumber,FR,FRAME_RELAY_PURPLE,SiteContact,FaxNumber,,View Request V4,0
MTN_ACCESS,LastModifDate,FR,FRAME_RELAY_PURPLE,VERSION,OrdersentDate,,View Request V4,0
MTN_ACCESS,LMIType,FR,FRAME_RELAY_PURPLE,AccessConnection,,Local Management Interface (LMI Type),View Request V4,0
MTN_ACCESS,MaximumFrameSize,FR,FRAME_RELAY_PURPLE,AccessConnection,,Maximum Frame Size,View Request V4,0
MTN_ACCESS,NodeName,FR,FRAME_RELAY_PURPLE,AccessConnection,,Node Name,View Request V4,0
MTN_ACCESS,PortSpeed,FR,FRAME_RELAY_PURPLE,AccessConnection,,Port Speed,View Request V4,0
MTN_ACCESS,PostalCode,FR,FRAME_RELAY_PURPLE,SiteInformation,PostalCode,,View Request V4,0
MTN_ACCESS,PureLayer2Flag,FR,FRAME_RELAY_PURPLE,,,,View Request V9,0
MTN_ACCESS,SellingEntityCrossReference,FR,FRAME_RELAY_PURPLE,AccessConnection,,Selling Entity Cross Reference,View Request V4,0
MTN_ACCESS,ServiceOrigin,FR,FRAME_RELAY_PURPLE,,,,View Request V4,0
MTN_ACCESS,ServiceStatus,FR,FRAME_RELAY_PURPLE,,,,View Request V4,0
MTN_ACCESS,ServiceSubStatus,FR,FRAME_RELAY_PURPLE,,,,View Request V4,0
MTN_ACCESS,ServiceSupplements,FR,FRAME_RELAY_PURPLE,BackupOptions,,BackupOptions,Combination of all backup information,0
MTN_ACCESS,StateCode,FR,FRAME_RELAY_PURPLE,SiteInformation,Statecode,,View Request V4,0
MTN_ACCESS,TelephoneNumber,FR,FRAME_RELAY_PURPLE,SiteContact,TelephoneNumber,,View Request V4,0
MTN_ACCESS,TerminationInterface,FR,FRAME_RELAY_PURPLE,AccessConnection,,Termination Interface,View Request V4,0
MTN_ACCESS,S_Type,FR,FRAME_RELAY_PURPLE,VERSION,ServiceID,,View Request V4,0
MTN_ACCESS,UserRepertoryName,FR,FRAME_RELAY_PURPLE,AccessConnection,,Local User Repertory Name,View Request V4,0
MTN_ACCESS,USID,FR,FRAME_RELAY_PURPLE,AccessConnection,ID,,View Request V4,0
,Address1,ATMPVC,ATM_PURPLE,SiteInformation,Address1,,View Request V4,0
,Address2,ATMPVC,ATM_PURPLE,SiteInformation,Address2,,View Request V4,0
,Address3,ATMPVC,ATM_PURPLE,SiteInformation,Address3,,View Request V4,0
MTN_MESHING,AlreadyInPlace,ATMPVC,ATM_PURPLE,Transport,,In Place,View Request V4,0
